Date,RELIANCE.NS,INFY.NS,WIPRO.NS,TCS.NS
2018-02-12,0.012081780200499714,0.0013514726111512054,0.0943046529249364,0.019562390550335707
2018-02-14,0.018767301488572197,0.0,0.10028198382245851,0.012338611138873135
2018-02-15,0.019504015575280975,0.004469454909706072,0.09902009662366212,0.01416730732167587
2018-02-16,0.01421820015633607,0.008109282905135906,0.09702767266970758,0.01510456151396633
2018-02-19,0.01631779713174175,0.009099529330553913,0.09563292572162968,0.013874480680580448
2018-02-20,0.01414450329985567,0.010491212724269117,0.0976254087112427,0.016627314217495637
2018-02-21,0.017183455269481784,0.01328797632955081,0.09862166496496377,0.029324026646450452
2018-02-22,0.015341644604900284,0.01686077957770382,0.09921940100649895,0.03035224746575138
2018-02-23,0.01898831571458487,0.015495950806722225,0.10234094096345603,0.033684079133923406
2018-02-26,0.020627510919464243,0.010932738501068073,0.09782462454059188,0.027944243609787867
2018-02-27,0.02497397134418866,0.01403734431078213,0.0980239289234287,0.02933033356274256
2018-02-28,0.02646579828391682,0.020032247502611567,0.09941858731801889,0.028380349459653953
2018-03-01,0.024200485172668373,0.01686077957770382,0.09902009662366212,0.02872514044786767
2018-03-05,0.015249599877728393,0.015562833250926333,0.09696128707181068,0.037595295860732125
2018-03-06,0.010368989930378103,0.014345044212141722,0.09164798926023304,0.02938895306079481
2018-03-07,0.00259684717417219,0.012404782472880183,0.08952270555699704,0.02739109222750724
2018-03-08,0.01059000415639072,0.015763561899580114,0.08932343069198945,0.024332431289532608
2018-03-09,0.011197723296449247,0.017570079079443857,0.08912415582698191,0.028256571390829377
2018-03-12,0.01753333720309691,0.023551687098474106,0.09662912293969245,0.030606033134216615
2018-03-13,0.018104284258343817,0.02302978041456788,0.10446625418452127,0.009084745337747557
2018-03-14,0.01707290998476113,0.022226865819952535,0.10081333426609673,0.009097862175925564
2018-03-15,0.010718922759612393,0.022681808743613086,0.1002156277423909,0.0068590616631848955
2018-03-16,0.006390835653388938,0.019844956329829744,0.10333716769934786,0.001132304284489405
2018-03-19,0.004714868363697944,0.013113939671547448,0.09390610319492132,0.0018221571100827116
2018-03-20,0.0026152459404827355,0.01787777898080345,0.10048128820529534,0.0062279057211198086
2018-03-21,0.005230542776584579,0.01866737807360913,0.10267301654208666,0.005173644689152768
2018-03-22,0.009374464085035616,0.017008063258025563,0.09364044273201677,0.0018677758481708828
2018-03-23,0.004125522542140492,0.01869409039326997,0.08859283490117276,0.0001496248178007309
2018-03-26,0.0067775914630539,0.015388837250943699,0.07444635621584972,0.0
2018-03-27,0.006298714582788412,0.015054384371902485,0.07451274181374662,0.00399576035931315
2018-03-28,0.0,0.009112905819394723,0.08394374728251486,0.004184426149744069
2018-04-02,0.003775538817287094,0.010544698350621995,0.09523443502727297,0.012058978721431746
2018-04-03,0.00620666985561652,0.011427790562240636,0.0875966376831101,0.012267145651808753
2018-04-04,0.004493854137685327,0.007078825697153901,0.08454151284187922,0.012221681684672525
2018-04-05,0.009392888299155688,0.013328126125083661,0.09071814812223805,0.018345387862389873
2018-04-06,0.010424237124928903,0.007828234336406004,0.0876630527988363,0.01734974632847508
2018-04-09,0.012265971446081714,0.003613054688737849,0.08912415582698191,0.013913599038686664
2018-04-10,0.012652752703556203,0.0041884469989968975,0.09038610206143671,0.015696637790663215
2018-04-11,0.01773597811060862,0.007092283502036334,0.08998758184925065,0.025660133900862914
2018-04-12,0.016944016829348985,0.017355933283928426,0.09151515902878077,0.04194257974466892
2018-04-13,0.020682758114014987,0.019724506943231246,0.10121185447828268,0.04377119854199568
2018-04-16,0.02001966454035803,0.009487528822979152,0.09556648108807442,0.04824195095285316
2018-04-17,0.022671809804700016,0.007346558764074196,0.08872566513262509,0.04550223425411598
2018-04-18,0.02036964826521137,0.007547287412728032,0.09921940100649895,0.04452605516740932
