Date,RELIANCE.NS,INFY.NS,WIPRO.NS,TCS.NS
2018-02-12,404.40472412109375,443.06634521484375,99.20397186279295,1218.4384765625
2018-02-14,412.4221496582031,441.03753662109375,100.74891662597656,1195.6484375
2018-02-15,413.3056335449219,447.74700927734375,100.42276000976562,1201.417724609375
2018-02-16,406.9667663574219,453.2110595703125,99.90778350830078,1204.3746337890625
2018-02-19,409.4846496582031,454.6976013183594,99.54728698730467,1200.493896484375
2018-02-20,406.8783874511719,456.7867736816406,100.0622787475586,1209.1787109375
2018-02-21,410.5227661132813,460.9852294921875,100.3197784423828,1249.235107421875
2018-02-22,408.3140258789063,466.3486633300781,100.47427368164062,1252.47900390625
2018-02-23,412.6871948242188,464.2998046875,101.28108978271484,1262.990478515625
2018-02-26,414.6529541015625,457.4495849609375,100.11376953125,1244.882080078125
2018-02-27,419.8653259277344,462.1101684570313,100.165283203125,1249.2550048828125
2018-02-28,421.65435791015625,471.109619140625,100.5257568359375,1246.2579345703125
2018-03-01,418.937744140625,466.3486633300781,100.42276000976562,1247.345703125
2018-03-05,408.2036437988281,464.4002075195313,99.890625,1275.329833984375
2018-03-06,402.3507080078125,462.5720825195313,98.5173110961914,1249.43994140625
2018-03-07,393.0301818847656,459.6593933105469,97.9679946899414,1243.136962890625
2018-03-08,402.6157531738281,464.7015380859375,97.91648864746094,1233.4873046875
2018-03-09,403.3445434570313,467.4134521484375,97.86498260498048,1245.867431640625
2018-03-12,410.9423522949219,476.3929443359375,99.80477142333984,1253.2796630859375
2018-03-13,411.6270446777344,475.6094665527344,101.83041381835938,1185.3829345703125
2018-03-14,410.3901977539063,474.4041442871094,100.8862533569336,1185.42431640625
2018-03-15,402.7703552246094,475.0870971679688,100.73176574707033,1178.3612060546875
2018-03-16,397.58001708984375,470.8284606933594,101.53858184814452,1160.2940673828125
2018-03-19,395.5701599121094,460.7239685058594,99.10095977783205,1162.470458984375
2018-03-20,393.05224609375,467.8753662109375,100.80043029785156,1176.3699951171875
2018-03-21,396.1885681152344,469.0606994628906,101.3669204711914,1173.0439453125
2018-03-22,401.1580505371094,466.56976318359375,99.03229522705078,1162.6143798828125
2018-03-23,394.8634033203125,469.1007995605469,97.72765350341795,1157.19384765625
2018-03-26,398.0438232421875,464.1390075683594,94.07125091552734,1156.7218017578125
2018-03-27,397.4695434570313,463.6369323730469,94.08840942382812,1169.327880859375
2018-03-28,389.9159851074219,454.7176818847656,96.52601623535156,1169.923095703125
2018-04-02,394.4436950683594,456.8670654296875,99.4442901611328,1194.7662353515625
2018-04-03,397.3591613769531,458.1927490234375,97.4701690673828,1195.4229736328125
2018-04-04,395.30511474609375,451.6641540527344,96.6805191040039,1195.279541015625
2018-04-05,401.1801452636719,461.0455017089844,98.2769775390625,1214.5989990234375
2018-04-06,402.4169616699219,452.7891540527344,97.48733520507812,1211.4578857421875
2018-04-09,404.6256103515625,446.4613952636719,97.86498260498048,1200.6173095703125
2018-04-10,405.0894470214844,447.3251647949219,98.19115447998048,1206.2425537109375
2018-04-11,411.1853637695313,451.6843566894531,98.08815002441406,1237.676025390625
2018-04-12,410.2356262207031,467.0919799804688,98.48297882080078,1289.044921875
2018-04-13,414.7192077636719,470.6476440429688,100.9892578125,1294.81396484375
2018-04-16,413.9240112304688,455.2800598144531,99.53011322021484,1308.9185791015625
2018-04-17,417.1045227050781,452.0660705566406,97.7619857788086,1300.275146484375
2018-04-18,414.3437194824219,452.3674011230469,100.47427368164062,1297.1954345703125
2018-04-19,416.2431335449219,455.1394348144531,100.40559387207033,1310.3560791015625
2018-04-20,409.8822326660156,473.45989990234375,102.32821655273438,1397.12060546875
2018-04-23,413.4602661132813,477.17626953125,102.0879135131836,1399.6663818359375
2018-04-24,428.5011596679688,463.8377380371094,98.5173110961914,1390.2218017578125
2018-04-25,428.6999206542969,466.1880187988281,98.58597564697266,1424.9603271484375
2018-04-26,430.8423461914063,472.6564331054688,96.59469604492188,1453.2935791015625
2018-04-27,440.0966491699219,476.1718444824219,94.80939483642578,1417.4461669921875
2018-04-30,425.51947021484375,481.9171752929688,95.7020492553711,1450.3575439453125
2018-05-02,429.6717834472656,480.9327697753906,94.60340118408205,1437.073974609375
2018-05-03,424.76861572265625,475.1072692871094,93.19577026367188,1429.7239990234375
2018-05-04,421.3893127441406,471.3104553222656,92.66360473632812,1429.272216796875
2018-05-07,428.9208068847656,475.2878723144531,94.3287353515625,1404.7169189453125
2018-05-08,427.1980895996094,468.2771911621094,93.64208984375,1413.0321044921875
2018-05-09,431.438720703125,470.3462219238281,92.78377532958984,1432.78271484375
2018-05-10,433.4044189453125,469.2615356445313,92.8524398803711,1417.158447265625
2018-05-11,436.982421875,474.3840026855469,93.60774993896484,1419.4990234375
2018-05-14,435.8118286132813,477.8191528320313,93.50476837158205,1409.8907470703125
2018-05-15,432.4325866699219,479.9284362792969,93.04126739501952,1429.9495849609375
2018-05-16,422.3611145019531,478.0802001953125,94.3115692138672,1434.6717529296875
2018-05-17,417.5903930664063,475.2477722167969,95.56471252441406,1433.8094482421875
2018-05-18,412.5105285644531,475.368408203125,92.32028198242188,1438.0181884765625
2018-05-21,411.40618896484375,473.8818359375,90.92981719970705,1460.479248046875
2018-05-22,409.3742065429688,479.6471557617188,90.96414947509766,1440.8309326171875
2018-05-23,402.96917724609375,476.0513916015625,90.4491729736328,1435.164306640625
2018-05-24,404.5593566894531,490.5550231933594,90.75814056396484,1479.7578125
2018-05-25,406.7459411621094,493.488037109375,90.84397888183594,1472.40771484375
2018-05-28,406.5692138671875,487.90338134765625,90.3976593017578,1438.0181884765625
