Date,Close,Volume,HL_Range,MA7,MA30
2018-02-12,443.06634521484375,6291972,9.160210167278024,450.2322038922991,445.01166178385415
2018-02-14,441.03753662109375,8345712,10.887870929176529,447.62074061802457,445.87143859863284
2018-02-15,447.74700927734375,7986736,10.727106473006984,446.25760323660717,447.0064259847005
2018-02-16,453.2110595703125,9889222,9.46158602928557,447.4227294921875,448.4360412597656
2018-02-19,454.6976013183594,6461840,6.307691750534104,448.7255859375,449.9942230224609
2018-02-20,456.7867736816406,7188594,18.380751830276324,448.8805629185268,451.6675771077474
2018-02-21,460.9852294921875,13771358,4.781013917339465,451.075936453683,453.15879414876304
2018-02-22,466.3486633300781,17859974,9.46158414159305,454.40198189871654,454.7578155517578
2018-02-23,464.2998046875,9459828,7.733977459798837,457.7251630510603,456.14256896972654
2018-02-26,457.4495849609375,5083608,8.31656430382992,459.11124529157365,456.98359375
2018-02-27,462.11016845703125,6616026,11.24942207101816,460.3825465611049,457.9444854736328
2018-02-28,471.109619140625,17268416,18.862846730148135,462.7271205357143,459.169194539388
2018-03-01,466.3486633300781,6579852,5.44388561854521,464.09310477120533,459.6767557779948
2018-03-05,464.40020751953125,8101456,11.068646182821908,464.5809587751116,459.72764587402344
2018-03-06,462.57208251953125,6689734,8.758495852072542,464.0414472307478,459.7095662434896
2018-03-07,459.6593933105469,6370416,8.818723410681798,463.3785313197545,459.71827494303386
2018-03-08,464.7015380859375,6093014,6.749672213341682,464.4145246233259,459.8073354085287
2018-03-09,467.4134521484375,4220964,4.198425003892112,465.17213657924106,459.6238616943359
2018-03-12,476.3929443359375,7676970,8.07546831158777,465.92689732142856,459.6231943766276
2018-03-13,475.6094665527344,8581052,8.778556178389579,467.2498692103795,459.7356892903646
2018-03-14,474.4041442871094,4429710,8.637947730689461,468.6790030343192,459.707568359375
2018-03-15,475.08709716796875,6101500,6.588955596076744,470.4668622698103,459.86626485188805
2018-03-16,470.8284606933594,17954826,5.283220090424322,472.0624433244978,460.1562082926432
2018-03-19,460.7239685058594,7526620,15.206793947942458,471.4942190987723,460.18499654134115
2018-03-20,467.8753662109375,8553766,8.597779262237793,471.5602068219866,460.4702494303385
2018-03-21,469.0606994628906,7692994,5.343494823306969,470.5127432686942,460.8626403808594
2018-03-22,466.56976318359375,6813168,8.899056450993669,469.2213570731027,461.5797932942708
2018-03-23,469.1007995605469,12008084,12.63553855141555,468.4637363978795,462.36389973958336
2018-03-26,464.1390075683594,8930722,9.20042813662343,466.8997235979353,462.6451354980469
2018-03-27,463.6369323730469,3802088,4.499798613831274,465.8723624093192,463.2457794189453
2018-03-28,454.7176818847656,12558322,9.8432432634296,465.01432146344865,463.6341573079427
2018-04-02,456.8670654296875,8072702,11.349860898995246,463.4417070661272,464.16180826822915
2018-04-03,458.1927490234375,4077168,6.207296974476776,461.88914271763394,464.50999959309894
2018-04-04,451.6641540527344,4813302,9.863349508554734,459.75976998465404,464.45843607584635
2018-04-05,461.0455017089844,7763544,8.919213516110062,458.60901314871654,464.67003275553384
2018-04-06,452.7891540527344,5937742,9.602193288627348,456.9876055036272,464.5367787679036
2018-04-09,446.4613952636719,7202882,7.733976925827392,454.5339573451451,464.0526509602865
2018-04-10,447.3251647949219,8926058,7.67370175966613,453.4778834751674,463.4185343424479
2018-04-11,451.6843566894531,9025574,6.02647573968585,452.7374965122768,462.9980194091797
2018-04-12,467.09197998046875,17044366,19.184278782413173,454.0088152204241,463.3194325764974
2018-04-13,470.64764404296875,21227038,14.322933714554438,456.72074236188615,463.60401509602866
