Date,Close,Volume,HL_Range,MA7,MA30
2018-02-12,99.20397186279297,6722288,1.7337973291018756,100.4031513759068,106.43436177571614
2018-02-14,100.74891662597656,8063123,2.4719483676990848,100.0524662562779,106.18178939819336
2018-02-15,100.42276000976562,4415065,1.768128132584323,99.7459226335798,105.8938201904297
2018-02-16,99.90778350830078,8209045,2.0084534829875764,99.56690325055804,105.68849589029948
2018-02-19,99.54728698730469,4420870,1.441971770685825,99.59633091517857,105.45176315307617
2018-02-20,100.0622787475586,9160624,1.4248027435277208,99.67726026262555,105.25615158081055
2018-02-21,100.31977844238281,13748271,1.4763030649521767,100.03039659772601,105.05087178548177
2018-02-22,100.47427368164062,12838500,1.0986462694255863,100.21186828613281,104.78172988891602
2018-02-23,101.28108978271484,9779768,1.253139958779414,100.28789302280971,104.43111623128256
2018-02-26,100.11376953125,13418935,1.8196284381547088,100.2437515258789,104.10547078450521
2018-02-27,100.165283203125,10467034,1.0986462367187073,100.28053719656808,103.80777842203776
2018-02-28,100.5257568359375,13724575,1.6479586465058276,100.42031860351562,103.56544799804688
2018-03-01,100.42276000976562,10895423,0.9956455782007936,100.47181592668805,103.12633692423502
2018-03-05,99.890625,9996650,1.356140535457243,100.41050829206195,102.74078114827473
2018-03-06,98.5173110961914,12604231,1.99129137566581,100.13094220842633,102.31344070434571
2018-03-07,97.9679946899414,4868340,2.248785661918305,99.6576429094587,101.82672500610352
2018-03-08,97.91648864746094,5387353,1.5792964014164994,99.34374564034599,101.42270329793294
2018-03-09,97.86498260498047,2681455,1.3046330433692788,99.01513126918248,101.08882853190104
2018-03-12,99.80477142333984,4658262,2.025622322474547,98.9121333530971,100.83444239298503
2018-03-13,101.83041381835938,8546243,2.368941385046952,99.11322675432477,100.67039210001627
2018-03-14,100.8862533569336,5547337,1.235970753865459,99.25545937674386,100.48399480183919
2018-03-15,100.73176574707031,13181140,3.4332564211022714,99.57181004115513,100.3363655090332
2018-03-16,101.53858184814453,12891090,2.094284921990834,100.08189392089844,100.23394012451172
2018-03-19,99.10095977783203,3963271,3.3989249394048073,100.25110408238002,100.09546483357748
2018-03-20,100.80043029785156,8064555,3.622088146901774,100.67045375279018,100.01535542805989
2018-03-21,101.3669204711914,8382829,1.7509593207335712,100.89361790248326,99.97530059814453
2018-03-22,99.03229522705078,5036841,2.6951115686955944,100.49388667515346,99.90434646606445
2018-03-23,97.72765350341797,8771707,1.5621342597884507,100.04265812465123,99.85055847167969
2018-03-26,94.07125091552734,18744243,4.549071937452268,99.09115600585938,99.66974105834962
2018-03-27,94.08840942382812,14239615,2.5921112115992315,98.02684565952846,99.54442723592122
2018-03-28,96.52601623535156,13853121,3.6049188539069945,97.65899658203125,99.45516204833984
2018-04-02,99.44429016113281,6543819,4.119907521872761,97.46526227678571,99.41167449951172
2018-04-03,97.47016906738281,4300609,1.4763030084203308,96.90858350481305,99.3132548014323
2018-04-04,96.6805191040039,4358041,2.2316164831217407,96.57261548723493,99.20567932128907
2018-04-05,98.2769775390625,2813628,1.2703089573141,96.65109034946987,99.16333567301432
2018-04-06,97.48733520507812,1802274,0.9269763824827209,97.13910239083427,99.0775042215983
2018-04-09,97.86498260498047,2986425,0.9613144403579668,97.6786128452846,98.9956776936849
2018-04-10,98.19115447998047,11673823,3.656419481057654,97.91648973737445,98.91957372029623
2018-04-11,98.08815002441406,3468465,1.8367905809532772,97.7227554321289,98.81314239501953
2018-04-12,98.48297882080078,5989886,1.8539597107503738,97.86744253976005,98.75878270467122
