Date,Close,Volume,HL_Range,MA7,MA30
2018-02-12,1218.4384765625,1974562,27.84018698669479,1239.0426548549108,1198.5103149414062
2018-02-14,1195.6484375,2847532,33.6504325258486,1224.8556605747767,1202.2395467122396
2018-02-15,1201.417724609375,2465236,15.562524708022465,1214.4522705078125,1206.3577189127604
2018-02-16,1204.3746337890625,2515756,31.453678944146304,1210.6862967354912,1210.4727172851562
2018-02-19,1200.493896484375,1568224,23.85716592272297,1208.8413957868304,1214.2064290364583
2018-02-20,1209.1787109375,1889068,23.467099229430687,1207.1138741629463,1217.7913167317708
2018-02-21,1249.235107421875,3089228,42.10929862531725,1211.2552839006696,1222.367305501302
2018-02-22,1252.47900390625,3463010,23.200139287103184,1216.1182163783483,1227.1251708984375
2018-02-23,1262.990478515625,3362500,39.789209989731944,1225.7385079520088,1230.9006713867188
2018-02-26,1244.882080078125,1363882,28.230248502095037,1231.9477015904017,1234.2924153645833
2018-02-27,1249.2550048828125,1717800,19.114460732469297,1238.3591831752233,1238.0231404622396
2018-02-28,1246.2579345703125,2706864,17.451429586701124,1244.8969029017858,1242.0670288085937
2018-03-01,1247.345703125,1718124,16.917596500395803,1250.349330357143,1244.7168131510416
2018-03-05,1275.329833984375,2858168,33.137161194044666,1254.0771484375,1247.7791463216147
2018-03-06,1249.43994140625,1906764,39.768758511562055,1253.6429966517858,1249.5790771484376
2018-03-07,1243.136962890625,1917772,28.94883723837097,1250.8067801339287,1250.6076741536458
2018-03-08,1233.4873046875,1951826,27.675868516304718,1249.178955078125,1249.068513997396
2018-03-09,1245.867431640625,1872436,35.31346879552848,1248.6950160435267,1248.1391235351562
2018-03-12,1253.2796630859375,2091340,19.874060987695202,1249.6981201171875,1246.4631103515626
2018-03-13,1185.3829345703125,88067154,27.799073518431214,1240.8462960379463,1243.2568359375
2018-03-14,1185.42431640625,3668668,19.709851090197162,1228.002650669643,1238.987040201823
2018-03-15,1178.3612060546875,2348906,19.278670951124013,1217.8485456194196,1235.111454264323
2018-03-16,1160.2940673828125,7197482,27.511662192727954,1206.0138462611608,1231.1879597981772
2018-03-19,1162.470458984375,3489940,11.497411816164686,1195.8685825892858,1226.977714029948
2018-03-20,1176.3699951171875,4024984,22.255683237169023,1185.9403773716517,1223.0248006184895
2018-03-21,1173.0439453125,3907678,14.084349208630556,1174.4781319754463,1219.6515502929688
2018-03-22,1162.6143798828125,2326094,21.927169798102113,1171.2254813058037,1217.3808146158854
2018-03-23,1157.19384765625,3654122,14.802936734103014,1167.1925571986608,1215.5070027669271
2018-03-26,1156.7218017578125,2964210,18.826952491631346,1164.1012137276787,1213.355350748698
2018-03-27,1169.327880859375,2494574,16.404323680597145,1165.3917585100446,1211.65810546875
2018-03-28,1169.923095703125,6865654,20.53109060251154,1166.4564208984375,1210.040926106771
2018-04-02,1194.7662353515625,1662988,30.38602731716901,1169.0844552176338,1210.0115193684896
2018-04-03,1195.4229736328125,1937290,15.521427195284105,1172.281459263393,1209.8116943359375
2018-04-04,1195.279541015625,2841820,17.2461240189798,1176.9479108537946,1209.508524576823
2018-04-05,1214.5989990234375,1809424,17.82094991957183,1185.148646763393,1209.9786946614583
2018-04-06,1211.4578857421875,1129018,13.735283345487233,1192.9680873325892,1210.054667154948
2018-04-09,1200.6173095703125,1235866,19.915161756216094,1197.4380057198662,1208.4340738932292
2018-04-10,1206.2425537109375,1184532,12.9551369155065,1202.626499720982,1206.8928588867188
2018-04-11,1237.676025390625,3124416,32.60334048840855,1208.7564697265625,1206.0490437825522
2018-04-12,1289.044921875,6114360,58.32886647893292,1222.1310337611608,1207.5211385091145
2018-04-13,1294.81396484375,8179118,44.634577292282756,1236.3502371651787,1209.0397705078126
2018-04-16,1308.9185791015625,6270274,36.62744558553118,1249.824462890625,1211.1284586588542
2018-04-17,1300.275146484375,3301724,19.6071926766449,1262.5126429966517,1212.8927734375
2018-04-18,1297.1954345703125,2433066,19.545538526143673,1276.3095179966517,1213.6216267903646
2018-04-19,1310.3560791015625,4820952,21.126477398642464,1291.1828787667412,1215.6521647135417
2018-04-20,1397.12060546875,18465662,74.87695116780151,1313.9606759207588,1220.7849527994792
2018-04-23,1399.6663818359375,15185910,69.12814078993733,1329.7637416294642,1226.3242553710938
2018-04-24,1390.2218017578125,8314336,41.32904837154342,1343.3934326171875,1231.1360677083333
2018-04-25,1424.9603271484375,8196574,48.432822133568834,1359.9708251953125,1236.8587565104167
2018-04-26,1453.2935791015625,12135034,38.187837213094554,1381.830601283482,1245.789111328125
2018-04-27,1417.4461669921875,4501330,50.917112702448776,1399.00927734375,1253.523173014323
2018-04-30,1450.3575439453125,3458558,45.743236117866445,1419.009486607143,1262.589717610677
2018-05-02,1437.073974609375,3158046,25.006833263649014,1424.7171107700892,1271.8157145182292
2018-05-03,1429.7239990234375,3761550,22.830619279301118,1429.0110560825892,1280.7241658528646
2018-05-04,1429.272216796875,2347244,11.086791597648698,1434.5896868024554,1289.1542399088542
2018-05-07,1404.7169189453125,3484426,32.48023123808002,1431.6977713448662,1296.8766723632812
2018-05-08,1413.0321044921875,2992820,36.87386777275037,1425.9461321149554,1305.2239298502604
2018-05-09,1432.78271484375,2615050,22.39943999114371,1428.1370675223213,1314.410225423177
2018-05-10,1417.158447265625,3858678,29.13359583811848,1423.3943394252233,1323.091446940104
